Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	Dbt	P53395	0.20327612	0.6271812
Peroxiredoxin-5, mitochondrial	Prdx5	P99029;E9Q9H9;P99029-2;G3UZJ4	0.203260891	0.6271812
RAC-alpha serine/threonine-protein kinase	Akt1	P31750;F8WJD0;D3Z783;Q9WUA6;Q9WUA6-2;D3YXX3;D3YYP9	0.142266429	0.62786102
	Pank2	Q3U4S0;F6SCD6;F6VV40	0.143453997	0.628627819
Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain	Ctsc	P97821;E9Q2Q0;D3Z220	0.204267324	0.628845091
Acetyl-CoA carboxylase 1;Biotin carboxylase	Acaca	Q5SWU9-2;E9PUB1;Q5SWU9	0.205220294	0.628995681
	Ugt1a6b	E9PXN8	0.204586265	0.628995681
Arf-GAP domain and FG repeat-containing protein 2	Agfg2	Q3U2K8;Q80WC7;Q3TBU7;Q80WC7-2	0.205137205	0.628995681
Platelet factor 4	Pf4	Q9Z126	0.204969501	0.628995681
UPF0587 protein C1orf123 homolog	0610037L13Rik	Q8BHG2-3;Q8BHG2;A2A8E2;Q8BHG2-2;B7ZC71;B7ZC72;D6REH4;A2A8E4	0.206547862	0.631484924
U6 snRNA-associated Sm-like protein LSm2	Lsm2	O35900;O35901;G3UZ96;Q9EP83	0.207128267	0.631484924
Glutamyl aminopeptidase	Enpep	P16406;F7B9G4;Q6P3C1;F6YHW2	0.207166991	0.631484924
Nuclear transport factor 2	Nutf2	P61971	0.207016958	0.631484924
OCIA domain-containing protein 1	Ociad1	Q9CRD0;Q9CRD0-2;Q9CRD0-3	0.207052911	0.631484924
28S ribosomal protein S6, mitochondrial	Mrps6	P58064	0.207471222	0.631720362
Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	Ech1	O35459;F7B227	0.208038227	0.631780238
T-complex protein 1 subunit delta	Cct4	P80315;G5E839;G3UYW5	0.208625957	0.631780238
Ras-related protein Rab-43	Rab43	Q8CG50;Q91Z34;D3Z444	0.208607446	0.631780238
Uncharacterized protein C9orf142 homolog	BC029214	Q8K0Y7;A2AJ30	0.208620688	0.631780238
Formimidoyltransferase-cyclodeaminase;Glutamate formimidoyltransferase;Formimidoyltetrahydrofolate cyclodeaminase	Ftcd	Q91XD4	0.208313315	0.631780238
39S ribosomal protein L19, mitochondrial	Mrpl19	E9PYC4;Q9D338	0.209153789	0.632003252
Nuclear receptor corepressor 1	Ncor1	Q5RIM6;E9Q2B2;Q60974;Q60974-2;E9Q2A9;Q8CHB6;E9Q8K6;E9Q9Y2;F7C134;Q5RIN0;Q05CF0;E9Q5F5;Q3UV08;Q8BK32;E9PXQ0;E0CYX5;F6TBG5;F7CTX2	0.209015587	0.632003252
Tubulin beta-3 chain	Tubb3	Q9ERD7	0.137812781	0.632917957
Protein 4.1	Epb4.1;Epb41	A2A841;P48193;A2A838;A2A839;E9PWN6;P48193-2;A2A842;A2AD32;E9Q6Q1;F7BUB8;F7CR30;Q3V048	0.210015229	0.63310388
Collagen alpha-1(I) chain	Col1a1	P11087;F8WGB7;P11087-2;CON__Q862S4	0.210609674	0.63310388
Methylosome subunit pICln	Clns1a	Q923F1;Q61189	0.210882967	0.63310388
Pterin-4-alpha-carbinolamine dehydratase 2	Pcbd2	Q9CZL5	0.209785881	0.63310388
GMP reductase 1	Gmpr	Q9DCZ1;F6VY18	0.210444627	0.63310388
Ras-related protein Rab-9A	Rab9a;Rab9	Q9R0M6;A2AFP5;A2AFP4	0.210881961	0.63310388
UPF0317 protein C14orf159 homolog, mitochondrial	9030617O03Rik	E9QMK9;Q8BH86;Q8BH86-2;F7CUW7	0.211164344	0.633265484
Beta-glucuronidase	Gusb	Q6IR10;P12265;Q99KJ6;Q8BPE3;D3YY48	0.211803224	0.63449771
Ral GTPase-activating protein subunit alpha-2	Ralgapa2	A3KGS3;E9Q4R6;A3KGS3-2;F7CGP0;F7AI67	0.212285083	0.635257404
	Mup7	A6PWS2	0.147140749	0.636433735
Lck-interacting transmembrane adapter 1	Lime1	Q9EQR5;F6QX71	0.147422308	0.636433735
RNA exonuclease 4	Rexo4	Q6PAQ4;A2ALB2;A2ALB1	0.149377115	0.636433735
Endothelial cell-selective adhesion molecule	Esam	Q925F2;D3Z5Y0;D3Z5S5;D3YV70	0.148887888	0.636433735
Protein angel homolog 2	Angel2	Q8K1C0;Q8K1C0-2;Q8K1C0-3;F6SBQ6;Q8K1C0-4;Q8K1C0-5	0.149569559	0.636433735
	Tmed7	D3YZZ5;E9Q7G1	0.21297173	0.636627631
N-alpha-acetyltransferase 50	Naa50	Q6PGB6-4;Q6PGB6;E9QNF4;Q6PGB6-2;Q6PGB6-3;Q6PGB6-5	0.21366363	0.637391395
ATP-binding cassette sub-family F member 3	Abcf3	Q8K268	0.214012593	0.637391395
Cysteine--tRNA ligase, cytoplasmic	Cars	Q9ER72;Q9ER72-2;F6UYH5	0.213747026	0.637391395
Transforming protein RhoA	Rhoa;4930544G11Rik	Q9QUI0;Q9CR99;P62746	0.214143354	0.637391395
Ras-related protein Rab-1A	Rab1A;Rab1	P62821;Q5SW88;D3YX72;Q5SW87;D3Z5G6;Q5SW86	0.214607519	0.637409525
Eukaryotic translation initiation factor 1A, X-chromosomal	Eif1ax	Q8BMJ3	0.214540297	0.637409525
A-kinase anchor protein 2	Gm20459;Akap2	F7AA26;A2API8;O54931;O54931-2;O54931-3;F8WH21;O54931-4;O54931-5;Q3UZT2;G3X9P1	0.21506197	0.638078318
Coatomer subunit beta	Copb2	O55029	0.215528231	0.638780689
Keratin, type II cytoskeletal 72	Krt72	CON__Q6IME9;Q6IME9;CON__Q14CN4-1;CON__Q32MB2;CON__Q7RTS7;CON__Q3SY84	0.216187101	0.640051811
SOSS complex subunit C	Ssbip1	Q3TXT3;Q3TXT3-2	0.152798615	0.64058227
Proteasome subunit alpha type-3	Psma3	O70435;E0CYL6;F8WH02;E0CZ34	0.217176149	0.64097327
Acyl-CoA-binding domain-containing protein 5	Acbd5	E9QNH7;Q5XG73;Q5XG73-3;Q5XG73-2;E9Q289;E0CXU7	0.21718929	0.64097327
Translin	Tsn	Q62348	0.216851633	0.64097327
Protein S100-A11	Gm7665;S100a11;Gm5068	G5E8Y7;P50543;F6SJ35	0.217563495	0.641397465
Frataxin, mitochondrial;Frataxin intermediate form;Frataxin mature form	Fxn	O35943	0.217809757	0.641443972
Keratin, type I cytoskeletal 18	Krt18	CON__P05784;P05784;CON__H-INV:HIT000015463;A1L317;CON__O76014;CON__O76013;CON__O76015;CON__Q497I4;Q497I4;B1ATJ5;CON__A2AB72;CON__Q14532;Q6IFX3;D3Z6B1;CON__Q15323;CON__Q9UE12;Q62168;CON__Q14525	0.218194625	0.641893231
Leukemia inhibitory factor receptor	Lifr	P42703;P42703-2	0.218423604	0.641893231
3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial	Oxsm	Q9D404;D3Z6F9	0.219012455	0.642944791
3(2),5-bisphosphate nucleotidase 1	Bpnt1	Q9Z0S1;D3Z0E6;D3Z5X0	0.219578039	0.643925904
WD repeat-containing protein mio	Mios	Q8VE19	0.117596397	0.644752659
60S ribosomal protein L27	Rpl27;Rpl27-ps1	P61358;G3UWF4;A2A4Q0;E9PV49	0.220150802	0.644854452
Phospholipase B-like 1	Plbd1	Q8VCI0	0.220396261	0.644854452
Transmembrane 9 superfamily member 3	Tm9sf3	Q9ET30;Q8C6F5;Q3UH23	0.220589809	0.644854452
ATP synthase subunit alpha, mitochondrial;ATP synthase subunit alpha	Atp5a1	Q03265;D3Z6F5;D6RJ16	0.22219312	0.647575513
Exocyst complex component 2	Exoc2	Q9D4H1	0.22245138	0.647575513
Adipocyte plasma membrane-associated protein	Apmap	Q9D7N9	0.221781071	0.647575513
Lysosomal acid lipase/cholesteryl ester hydrolase	Lipa	Q9Z0M5	0.222373362	0.647575513
Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial	Idh3g	P70404;Q3TKM5	0.22328727	0.649021826
ADP-ribosylation factor 5	Arf5	P84084	0.223414628	0.649021826
Bile acid-CoA:amino acid N-acyltransferase	Baat	Q91X34	0.223654053	0.649039864
Obg-like ATPase 1	Ola1	Q9CZ30;B1AYJ9;Q9CZ30-2	0.224114931	0.649699847
Lon protease homolog;Lon protease homolog, mitochondrial	Lonp1	E9Q120;Q8CGK3	0.22448451	0.65009406
Dihydrofolate reductase	Dhfr	P00375	0.224740275	0.650158197
40S ribosomal protein S15a	Rps15a;Rps15a-ps1	P62245;F8WJ41;D3YXU0;D3YVB4;D3Z712;D3Z7W9	0.225743478	0.651718009
Microfibrillar-associated protein 1	Mfap1	Q9CQU1	0.225747812	0.651718009
Syntaxin-binding protein 2	Stxbp2	F8WGM5;Q64324	0.226744933	0.65209733
DnaJ homolog subfamily C member 11	Dnajc11	Q5U458;E9Q8B3;A2A8D1	0.226213317	0.65209733
Casein kinase II subunit alpha	Csnk2a1	Q60737;A2ANR6	0.226636873	0.65209733
Ubiquitin-like protein ISG15	Isg15	Q64339	0.227050777	0.65209733
Putative oxidoreductase GLYR1	Glyr1	D3YYT1;Q922P9	0.227825237	0.653647046
DNA ligase 3;DNA ligase	Lig3	P97386;Q80ZH7;Q3UC82;P97386-2;B1AT03;Q3TJN5;Q3U0I5	0.105107493	0.654880708
Hepatocyte nuclear factor 4-alpha	Hnf4a	P49698;P49698-2;E9Q0V2;B9VVT7;E9QPS1;Q059V1;Q9WUU6	0.055756205	0.654880708
Leucine-rich repeat-containing protein 16A	Lrrc16a	D3Z024;Q6EDY6;Q6EDY6-3;D3Z030;E9PU95;F7AI27;E9Q3Z9	0.064752441	0.654880708
	Sult5a1	Q91X36;D3Z6D1;Q3UQP7;D6RH78	0.087253933	0.654880708
	Slc4a1ap	E9PX68;E9Q585;Q5BKS1;E9Q1Q0	0.062205041	0.654880708
	Tex264	E9Q137;Q3TXY2	0.09886084	0.654880708
Peroxisomal membrane protein 11A	Pex11a	E9Q4E8;Q9Z211	0.09286588	0.654880708
RAC-beta serine/threonine-protein kinase	Akt2	Q60823;F8WHG5;D3Z3N2;D3YXM7;D3Z490;D3Z5X2	0.090097892	0.654880708
Serine/threonine-protein kinase WNK1	Wnk1	P83741-3;P83741-2;P83741;P83741-5;F8WHP4;P83741-4;P83741-6;F7CZC4	0.058567255	0.654880708
Serine/threonine-protein kinase 16	Stk16	O88697;D6RHS1;D3YXM1	0.104171514	0.654880708
Proliferating cell nuclear antigen	Pcna	P17918;E9Q7Z3	0.086043254	0.654880708
Cyclin-dependent kinase inhibitor 1B	Cdkn1b	P46414;Q8BG74	0.053693581	0.654880708
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	Stt3a	P46978;D3YZN5	0.04988571	0.654880708
Rho-related GTP-binding protein RhoG	Rhog	P84096	0.081673053	0.654880708
Ankyrin repeat and LEM domain-containing protein 2	Ankle2	Q6P1H6;Q6P1H6-2;Q6P1H6-3	0.04453656	0.654880708
Hematological and neurological expressed 1-like protein	Hn1l	Q6PGH2	0.093676068	0.654880708
	Glt28d2	Q8BML3;Q9D8C3-2;Q9D8C3;E9PX10	0.09906571	0.654880708
Leucyl-cystinyl aminopeptidase	Lnpep	Q8C129	0.0599772	0.654880708
ADP-dependent glucokinase	Adpgk	Q8VDL4;Q8VDL4-3;Q8VDL4-2	0.105911973	0.654880708
	Cyp4f13	Q99N19;B8JK07;Q3V1F1	0.110196273	0.654880708
Trafficking protein particle complex subunit 6B	Trappc6b	Q9D289	0.076873817	0.654880708
3 beta-hydroxysteroid dehydrogenase type 7	Hsd3b7	Q9EQC1;D3Z3X1;D3Z3X2;D3YU71;D3YVB8	0.07153004	0.654880708
	Nup153	E9Q3G8	0.12281354	0.654986651
Nucleoporin p58/p45	Nupl1	Q8R332-2;Q8R332;Q8R332-3;Q8R332-4	0.123582387	0.654986651
WD repeat domain phosphoinositide-interacting protein 1	Wipi1	Q8R3E3;Q8R3E3-2	0.159672445	0.656288088
Cleavage and polyadenylation specificity factor subunit 2	Cpsf2	O35218	0.174373632	0.656807347
Cytoplasmic polyadenylation element-binding protein 2	Cpeb2	E9Q5X2;E9Q969;D3YUJ4;Q812E0;Q7TN99-5	0.128130568	0.657185817
Guanylate cyclase soluble subunit beta-1	Gucy1b3	O54865	0.126418382	0.657185817
Early endosome antigen 1	Eea1	Q8BL66	0.229552628	0.657899989
Probable proline dehydrogenase 2	Prodh2	Q8VCZ9;F7CED2;D3Z5H4;D3YV12;D6RET3;F6ZBU4	0.229780377	0.657899989
39S ribosomal protein L55, mitochondrial	Mrpl55	Q9CZ83-2;Q9CZ83	0.230151175	0.658284399
TOX high mobility group box family member 4;TOX high mobility group box family member 3;Thymocyte selection-associated high mobility group box protein TOX	Tox4;Tox3;Tox	Q8BU11;Q80W03;Q66JW3	0.114261916	0.660179959
BET1 homolog	Bet1	O35623	0.041058752	0.661502116
Perilipin-5	Plin5	Q8BVZ1;Q8BVZ1-2	0.041025443	0.661502116
	C6	E9Q6D8;Q91X70;Q8BRY4	0.231713547	0.662072691
Ataxin-2	Atxn2	E9QM77;O70305;E9QQ60;O70305-2;E9QQ61;O70305-3;F6U2C2;F7B6X4;E9PZC0;F6V8M6	0.232617087	0.662165021
SAM and SH3 domain-containing protein 1	Sash1	F8VQK5;P59808	0.232697589	0.662165021
Niemann-Pick C1 protein	Npc1	O35604;G3X8W9;Q3U2B2	0.232116723	0.662165021
Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	Casp7	P97864	0.232414665	0.662165021
Isovaleryl-CoA dehydrogenase, mitochondrial	Ivd	Q9JHI5	0.233366486	0.663390123
Sorting nexin-18	Snx18	Q8C788;Q91ZR2	0.233915491	0.663595119
Acyl-CoA synthetase family member 2, mitochondrial	Acsf2	Q8VCW8	0.233707472	0.663595119
Actin-binding LIM protein 1	Ablim1	E9Q1E8;E9Q9C7;E9Q9D2;E9Q9D1;E9QK41;Q8K4G5;E9Q9C2;E9Q9C1;E9Q9C0;E9Q9C8;Q8K4G5-2;E9Q030;Q8K4G5-3;E9Q9Q7;E9Q9C9;E9Q9C4;Q8K4G5-4	0.234946309	0.66442931
Vesicle-fusing ATPase	Nsf	P46460;G3UX86;G3UX98	0.235043772	0.66442931
4-aminobutyrate aminotransferase, mitochondrial	Abat	P61922;P61922-2;Q3TUE8;F6RN86	0.234464195	0.66442931
Serine/threonine-protein kinase MRCK alpha	Cdc42bpa	E9PVY0;Q3UU96;D3YYN8;Q3UU96-2;F6Q5A5;F6S5Z6	0.131824212	0.665398403
Protein PML	Pml	Q60953;Q60953-2;F6XUT1	0.182743196	0.666128424
Torsin-1B	Tor1b	F8WIQ6;Q9ER41;D6REF0;F6VK94;F6ZDX6	0.236194906	0.666139674
Cytochrome P450 4A14	Cyp4a14	O35728	0.23661469	0.666139674
Catalase	Cat	P24270;A2AL20	0.236585909	0.666139674
Far upstream element-binding protein 2	Khsrp	Q3U0V1	0.236727322	0.666139674
60S ribosomal protein L7a	Rpl7a;Gm5619;Rpl7a-ps3;Gm16477;Rpl7a-ps5;Rpl7a-ps10;Gm5459;Rpl7a-ps8;Gm4978	F6TJZ4;D3YXT4;P12970;D3YU93;D3Z3R0;F6U2H0;D3YVE6;F6ZVW4;F6TIC7;F6VBB8;F6YI27;F6SSI5	0.237960137	0.668277763
C-type lectin domain family 4 member F	Clec4f	P70194	0.237967396	0.668277763
	Gcn1l1	E9PVA8;E9Q005;Q8BIX2;Q6NV94	0.241562245	0.670110238
Nucleosome assembly protein 1-like 1	Nap1l1	E9PW66;P28656;Q8BSH9	0.24037205	0.670110238
Protein Hook homolog 3	Hook3	E9Q272;Q8BUK6;F6W1A2	0.240015378	0.670110238
Serine protease inhibitor A3N	Serpina3n	G3X8T9;Q91WP6;F2Z405;Q4V9W0	0.243194876	0.670110238
D-dopachrome decarboxylase	Ddt	O35215;G3UZN1	0.241059747	0.670110238
COP9 signalosome complex subunit 4	Cops4	O88544;F6QTS1;D3YV99;D3Z1R9;D6RG47	0.24179572	0.670110238
Tyrosine-protein phosphatase non-receptor type 6	Ptpn6	P29351-2;P29351;G3UXM2	0.241485567	0.670110238
rRNA 2-O-methyltransferase fibrillarin	Fbl	P35550	0.239366613	0.670110238
Coproporphyrinogen-III oxidase, mitochondrial	Cpox	P36552	0.241671854	0.670110238
Epidermal growth factor receptor substrate 15	Eps15	P42567;P42567-2	0.242841432	0.670110238
Cytochrome P450 2A12	Cyp2a12	P56593	0.242655092	0.670110238
Collagen alpha-1(VI) chain	Col6a1	Q04857;E9Q3C7;E9Q7R6	0.241766573	0.670110238
28S ribosomal protein S31, mitochondrial	Mrps31	Q61733	0.238969822	0.670110238
Acetyl-CoA acetyltransferase, cytosolic	Acat2	Q8CAY6;G3XA25	0.242959584	0.670110238
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	Aimp2	Q8R010;Q8R3V2	0.242044941	0.670110238
Probable cytosolic iron-sulfur protein assembly protein CIAO1	Ciao1	Q99KN2;G3UYR5;G3UYN9	0.240731185	0.670110238
tRNA-splicing ligase RtcB homolog	D10Wsu52e	Q99LF4	0.240088986	0.670110238
Ubiquilin-4	Ubqln4	Q99NB8	0.243189417	0.670110238
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	Ndufb9	Q9CQJ8	0.240026069	0.670110238
	Secisbp2	Q3U1C4;Q8BYU9	0.243445692	0.670137845
Peptidyl-prolyl cis-trans isomerase A	Ppia	P17742	0.244393172	0.670652277
Guanine nucleotide-binding protein subunit beta-2-like 1	Gnb2l1	P68040	0.244965588	0.670652277
Acetyl-CoA acetyltransferase, mitochondrial	Acat1	Q8QZT1	0.245007325	0.670652277
Cysteine sulfinic acid decarboxylase	Csad	Q9DBE0	0.2448382	0.670652277
ADP-ribosylation factor-like protein 3	Arl3	Q9WUL7	0.245078464	0.670652277
Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	Sucla2	Q9Z2I9	0.245068919	0.670652277
Glucosamine 6-phosphate N-acetyltransferase	Gnpnat1	Q9JK38	0.245942346	0.672355156
Ras-related protein Rab-14	Rab14	Q91V41;Q50HX3;A2AL34	0.246827435	0.673451717
ES1 protein homolog, mitochondrial	D10Jhu81e	Q9D172	0.246777823	0.673451717
AP-5 complex subunit zeta-1	Ap5z1;C330006K01Rik	Q3U829;Q6ZQC1	0.135683744	0.674178603
BRI3-binding protein	Bri3bp	Q8BXV2	0.171439384	0.675940866
Telomeric repeat-binding factor 2	Terf2	O35144;D3YZ08;E9QM06;O35144-2;F6VIR4	0.172184742	0.676208401
	Idi1	G3XA48	0.068873841	0.678142434
Ran GTPase-activating protein 1	Rangap1	F8WGD1;P46061;E9Q757;E9Q2J7	0.250060157	0.678282083
Aldose reductase	Gm6736;Akr1b1;Akr1b3	G3UW73;P45376;F8WJG5;D3YVJ7	0.249115398	0.678282083
Major urinary protein 2	Mup2	P11589	0.249762948	0.678282083
Phosphoribosylformylglycinamidine synthase	Pfas	Q5SUR0;F6RUL9;G3UY86;Q14BH5	0.249855463	0.678282083
39S ribosomal protein L20, mitochondrial	Mrpl20	Q9CQL4	0.249469034	0.678282083
	Herc1	E9PZP8	0.177198641	0.67954617
Zinc finger homeobox protein 3	Zfhx3	E9QMD3;Q61329	0.178104965	0.67954617
EH domain-binding protein 1	Ehbp1	Q69ZW3;Q69ZW3-2	0.175207687	0.67954617
Myotubularin-related protein 1	Mtmr1	Q9Z2C4;F6T9H9;Q8CIU5;Q8CIU3;Q8CIU4;Q8CIU6;Q8CIU7	0.176107293	0.67954617
Putative RNA-binding protein Luc7-like 1	Luc7l	Q9CYI4;Q9CYI4-2;D3Z765;F6QU81;D6RGP6;D6REI1	0.175569415	0.67954617
Transmembrane protein 176B	Tmem176b	Q9R1Q6;F8WI44	0.178969995	0.67954617
	Glud1	F7CFA5	0.175413676	0.67954617
Ribosome maturation protein SBDS	Sbds	P70122;F6TN03;D6REV5	0.250842694	0.679742179
Terminal uridylyltransferase 4	Zcchc11	A2A8R7;B2RX14	0.106099934	0.679879406
TBC1 domain family member 8B	Tbc1d8b	A3KGB4	0.054775011	0.679879406
Peroxisomal biogenesis factor 3	Pex3	Q9QXY9;E9QA46	0.108836705	0.679879406
FTS and Hook-interacting protein	Fam160a2	Q3U2I3;F8WHJ1;Q3U2I3-2;Q3U2I3-3	0.055053295	0.679879406
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	Ndufb11	O09111	0.046693942	0.679879406
Protein kinase C delta type	Prkcd	P28867-2;P28867;REV__Q6ZPL9;REV__E9Q9T6;Q1MX42;Q1MX40;Q1MX43;Q1MX41;REV__E9Q2P8	0.061316971	0.679879406
	Rbm15	Q0VBL3	0.097395106	0.679879406
Zinc transporter SLC39A7	Slc39a7	Q31125	0.06419566	0.679879406
GPI inositol-deacylase	Pgap1	Q3UUQ7	0.023524026	0.679879406
Calcium-binding mitochondrial carrier protein SCaMC-1	Slc25a24	Q8BMD8	0.096045499	0.679879406
Insulin-like growth factor I	Igf1	Q8CAR0;Q4VJB9;P05017-2;P05017;E9PU89;E9Q138;D3Z7M4	0.08548322	0.679879406
Exosome complex component RRP46	Exosc5	Q9CRA8	0.052590001	0.679879406
Synaptophysin-like protein 1	Sypl1;Sypl	O09117;O09117-2;D6RFU9	0.251400083	0.679928504
Sorting and assembly machinery component 50 homolog	Samm50	Q8BGH2	0.251384826	0.679928504
Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	Eprs	Q8CGC7;E9Q1B1	0.252943125	0.683437589
PR domain zinc finger protein 16	Prdm16	A2A933;A2A935-3;A2A935;A2A931;A2A930;A2A935-2;A2A934;E9PYH5;E9PW58	0.253211414	0.683498899
Nucleus accumbens-associated protein 2	Nacc2	Q9DCM7	0.18444073	0.684045715
Alpha-2-macroglobulin receptor-associated protein	Lrpap1	F6SY09;P55302;F6WMD1	0.25423771	0.68479714
Enoyl-CoA delta isomerase 1, mitochondrial	Eci1	Q8QZV3;P42125	0.25411858	0.68479714
Sarcosine dehydrogenase, mitochondrial	Sardh	Q99LB7;A2AH53;A2AH52	0.254430558	0.68479714
RNA binding motif protein, X-linked-like-1;RNA binding motif protein, X-linked-like-1, N-terminally processed	Rbmxl1	Q91VM5	0.255053348	0.685810114
Periplakin	Ppl	Q9R269;G5E898	0.142641397	0.687272186
28S ribosomal protein S25, mitochondrial	Mrps25	Q9D125	0.255892075	0.687401201
Beta-arrestin-2	Arrb2	Q91YI4-2;Q91YI4;Q5F2D9;E9Q4A2	0.256698705	0.688164373
Moesin	Msn	P26041	0.257655384	0.688164373
SWI/SNF complex subunit SMARCC2	Smarcc2	Q6PDG5;Q3UID0;Q6PDG5-2	0.256692348	0.688164373
40S ribosomal protein S9	Rps9	Q6ZWN5;Q9CXW7;D3YWH9;F7CJS8;D3Z673;D3YUV6	0.257256261	0.688164373
28S ribosomal protein S27, mitochondrial	Mrps27	Q8BK72	0.257659819	0.688164373
UDP-glucuronosyltransferase 3A2	Ugt3a2	Q8JZZ0;Q8BRY7	0.257309382	0.688164373
Fumarylacetoacetase	Fah	P35505;D3Z2R9	0.258350139	0.688686242
Ras-related protein Rab-10	Rab10	P61027	0.258143125	0.688686242
Short-chain specific acyl-CoA dehydrogenase, mitochondrial	Acads	Q07417;F6RAZ3	0.259471068	0.690351799
Copine-1	Cpne1	Q8C166;B7ZCP4;E9Q806;A3KGK7;B7ZCP7;B7ZCP5;B7ZCP6;F6R587;B7ZCP8	0.259411585	0.690351799
Protein-L-isoaspartate O-methyltransferase domain-containing protein 1	Pcmtd1	P59913;E9QAJ0;D3Z0C8	0.260081942	0.690879551
	Acat3	Q80X81;F2Z459	0.260165925	0.690879551
Aspartyl aminopeptidase	Dnpep	Q9Z2W0;Q8BPW9	0.26053903	0.691210792
Unconventional myosin-XVIIIa	Myo18a	E9QAX2;Q9JMH9-6;Q9JMH9;B2RRE2;Q9JMH9-1;Q9JMH9-4;Q9JMH9-2;Q9JMH9-7;Q9JMH9-5;E9Q405;E9QA74	0.261759985	0.691818237
Carbonyl reductase [NADPH] 1	Cbr1	P48758	0.261321996	0.691818237
28S ribosomal protein S5, mitochondrial	Mrps5	Q99N87;B2FDG7	0.261320493	0.691818237
Peroxisomal coenzyme A diphosphatase NUDT7	Nudt7	Q99P30;Q99P30-3;Q99P30-2;Q99P30-4;Q99P30-5	0.261762344	0.691818237
Transcription elongation factor SPT5	Supt5h	O55201;O55201-2	0.262140901	0.691858206
Protein phosphatase 1 regulatory subunit 7	Ppp1r7	Q3UM45;F6TGJ2	0.262523272	0.691858206
Riboflavin kinase	Rfk	Q8CFV9	0.262386434	0.691858206
	Qars	Q8BML9;D3Z158;Q8R1V9;F6TDS3	0.263039132	0.692561877
ATP-dependent RNA helicase DHX8	Dhx8	F6ZF21;A2A4P0;A2A4N9	0.193246097	0.692671928
Exocyst complex component 6	Exoc6	Q3U9D6;Q8R313	0.193527551	0.692671928
Protein Mpv17	Mpv17	D6RI47;G3UVW1;P19258;F8WHT5;E9Q1I6;D3YWI4;F6T1N2	0.112014616	0.692750858
Deoxyribonuclease-2-alpha	Dnase2;Dnase2a	P56542;D3Z512;D3Z5U3	0.091664997	0.692750858
	Acad12	D3Z7X0;D3Z2B3	0.10153157	0.692750858
FAST kinase domain-containing protein 2	Fastkd2	Q922E6;F6QIH7	0.106187655	0.692750858
CB1 cannabinoid receptor-interacting protein 1	Cnrip1	F7C0H6;Q5M8N0	0.103345494	0.692750858
S1 RNA-binding domain-containing protein 1	Srbd1	Q497V5;F8WGW3;Q497V5-2;Q8CHZ0;B7ZWI4;B7ZWI7	0.063615113	0.692750858
Ribonuclease P protein subunit p30	Rpp30	O88796	0.075918839	0.692750858
Ubiquitin-conjugating enzyme E2 Z	Ube2z	Q3UE37	0.059364591	0.692750858
Calcineurin subunit B type 1	Ppp3r1	Q63810;Q63810-2	0.088150708	0.692750858
Serine/threonine-protein kinase 38	Stk38	Q91VJ4	0.093866162	0.692750858
Cytochrome P450 4A12A	Cyp4a12a	Q91WL5	0.09964602	0.692750858
Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	Pet112;Pet112l	Q99JT1;Q8BW84;Q3TLZ6	0.098022234	0.692750858
Lipid phosphate phosphohydrolase 3	Ppap2b	Q99JY8	0.100388744	0.692750858
C1GALT1-specific chaperone 1	C1galt1c1	Q9JMG2	0.055754072	0.692750858
Dolichyl-phosphate beta-glucosyltransferase	Alg5	Q9DB25;D6RCG2	0.195369132	0.693889207
Inter-alpha-trypsin inhibitor heavy chain H2	Itih2	G3X977;Q61703;Q3UEG7;CON__Q9TRI1	0.265996829	0.694289444
Nuclear migration protein nudC	Nudc	O35685	0.264540656	0.694289444
Lysosome-associated membrane glycoprotein 2	Lamp2	P17047-3;P17047-2;P17047	0.265537268	0.694289444
Cytochrome c oxidase subunit 6A, mitochondrial;Cytochrome c oxidase subunit 6A1, mitochondrial	Cox6a1	Q9DCW5;P43024	0.266439499	0.694289444
Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle	Actc1;Acta1	P68033;P68134;E9Q2D1;F6WX90	0.265828342	0.694289444
Histone H3.2	Hist1h3b	P84228	0.266133208	0.694289444
Rab GDP dissociation inhibitor beta	Gdi2	Q61598;Q61598-2	0.264263358	0.694289444
Ribokinase	Rbks	Q8R1Q9	0.266271395	0.694289444
Tektin-2	Tekt2	Q922G7	0.265562608	0.694289444
