Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase;N-acetylmannosamine kinase	Gne	Q3UW64;Q91WG8;G3UX23;G3UYD5;G3UZ98;F6WD11;G3UWV5;F6SHH4;F7BWW0;G3UX49	1448810_at	0.203601596	0.250731771	0.079828677	-0.012783185	0.089789258	0.261206227	0.177930686	0.160201616	0.054287432	0.108876382	0.007492583	0.086997647	0.063755941	0.107166033	0.219505113	0.146786773
von Willebrand factor A domain-containing protein 5A	Vwa5a	Q99KC8;F6TIL5;Q8BGF0;Q6P8K4;D3Z671;D3Z518	1426221_at	-0.093154488	-0.066399229	-0.235849577	-0.207767938	-0.08011186	0.015942987	-0.141563582	-0.082702589	0.025690963	-0.253142153	-0.242572021	-0.205892928	-0.097475959	-0.009490503	-0.081612323	-0.159629186
Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd	Q60668;G3X9W0;Q60668-2;Q60668-3;G5E8G0;Q60668-4;F6ZV59;E9Q5B6;F6SHF3;F7A465	1425142_a_at	-0.19887128	-0.267835392	-0.39758394	-0.259543673	-0.183708817	-0.244765308	-0.235604533	-0.242815884	-0.189160371	-0.342099565	-0.279887255	-0.213378391	-0.234623941	-0.115832299	-0.158466295	-0.288771967
Major urinary protein 3	Mup3	Q3KQQ2;P04939;Q80YX8;P11590	1427631_x_at	0.479411804	0.612262495	0.627694196	0.744970675	0.666736575	0.664036612	0.610719553	0.618783087	0.480095832	0.630148291	0.534432942	0.667561299	0.739203506	0.328924067	0.4493554	0.245283494
Choline dehydrogenase, mitochondrial	Chdh	Q8BJ64;F8WIG7;F6RSP9	1455435_s_at	0.358379988	0.404687311	0.317516593	0.41838844	0.446226655	0.340440727	0.414402853	0.333134358	0.209077863	0.391588144	0.381817737	0.480599	0.369221787	0.297377915	0.284581018	0.269147052
Probable leucine--tRNA ligase, mitochondrial	Lars2	Q8VDC0	1435682_at	-0.039840265	0.082743938	0.042471657	0.20175866	0.199205686	0.079676207	0.30862664	-0.013926706	0.062324165	0.018118128	0.179171588	0.419256331	0.286022711	0.372692003	0.056596224	0.301621478
Granulins;Acrogranin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7	Grn	Q3U9N4;P28798	1448148_at	0.466177538	NA	0.064766575	0.067258473	NA	0.40325564	0.452530428	0.158880275	0.335262321	0.13218259	NA	0.224182473	0.19195275	0.389507807	NA	NA
Protein syndesmos	Nudt16l1	Q8VHN8;Q8VHN8-2;Q8VHN8-3	1428049_a_at	-0.646992084	-0.189539944	0.02047214	-0.457016363	0.314624934	NA	-0.355805639	-0.385044426	-0.584385307	NA	-0.299947954	NA	-0.04082231	NA	NA	-0.794353478
Tropomyosin alpha-4 chain	Tpm4	Q6IRU2	1433883_at	-0.247684513	-0.220206113	-0.446891405	-0.409798228	-0.23155529	-0.258579224	-0.264716569	-0.363339312	-0.398131432	-0.438612232	-0.390777727	-0.299596349	-0.276198865	-0.130140135	-0.279530726	-0.153545952
Brain-specific angiogenesis inhibitor 1-associated protein 2	Baiap2	B1AZ46;Q8BKX1;Q8BKX1-2;Q8BKX1-3;Q8BKX1-4	1435128_at	-0.094100916	-0.017066724	-0.158724796	-0.017066724	-0.251082803	-0.195095577	-0.263755573	0.106497992	-0.125783332	-0.107420059	-0.009203827	-0.244887059	-0.265316867	-0.186627327	-0.104739216	-0.043904394
Propionyl-CoA carboxylase beta chain, mitochondrial	Pccb	Q99MN9;E9Q1J7;E9Q5K5;D3YZC1	1450969_at	0.101567181	0.10430961	0.131771557	0.214206753	0.197252564	0.103379389	0.186261898	0.053329019	0.095280851	0.194278308	0.168479424	0.252672759	0.159605252	0.085328331	0.134777964	0.151858831
Bis(5-adenosyl)-triphosphatase	Fhit	E9PZ91;O89106;E9PVU9;F6SV10;E9Q3M6	1425893_a_at	-0.16889872	0.122365674	0.397467105	-0.056860943	0.014280996	-0.067225673	0.017402451	0.143006345	-0.072586047	0.050651836	0.04089757	0.291874579	0.191277227	-0.167357928	-0.221567789	-0.160145725
Tight junction protein ZO-1	Tjp1	P39447	1417749_a_at	-0.075190314	-0.075464174	-0.250719083	-0.142348082	0.038598927	-0.0223323	-0.131194352	-0.110897723	-0.095046725	-0.167871708	-0.174534255	0.009771207	-0.01306915	-0.029276182	-0.013783815	0.001732274
Tubulin beta-4B chain	Tubb4b	P68372;G3UZR1	1423642_at	-0.06681251	-0.014783753	-0.06253622	-0.026162654	-0.053528441	-0.117296086	-0.108089492	-0.110897723	-0.128293401	-0.063226802	-0.122473941	-0.040962548	-0.022900402	-0.089633736	-0.123268887	-0.084880654
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	Ndufa12	Q7TMF3;F6RBR6	1433513_x_at	0.01180614	0.029750048	0.041461668	0.064615689	0.068483345	0.085603865	0.08621635	0.012912022	0.0199747	0.077573775	0.067953951	0.116066438	0.14221005	0.081567966	0.045997303	0.119369324
Protein ERGIC-53	Lman1	Q9D0F3;D3Z5B9	1444037_at	0.372206417	0.101365965	0.302724361	0.033894434	0.054032791	0.28523136	0.286251405	0.30062605	0.19817914	0.453675942	0.306341323	-0.004033901	-0.166329818	0.172473608	0.172538646	0.153061458
Selenoprotein O	Selo;1300018J18Rik	Q9DBC0;A4FUU9	1428894_at	-0.158207748	-0.06681251	-0.657731457	0.072831713	0.28380802	0.058713363	0.135712808	0.12084319	-0.076969476	0.026484234	-0.107821756	0.158155663	0.244650909	0.110962642	0.322054336	-0.296662968
Protein FAM73B	Fam73b	Q8BK03;Q8BK03-2;F6V3Z9;A2AWJ1	1454621_s_at	NA	NA	NA	NA	NA	NA	NA	NA	-0.396159489	NA	0.087411446	NA	0.212851756	NA	-0.186120184	-0.283803271
AP-1 complex subunit mu-1	Ap1m1	P35585;Q9WVP1-2	1459832_s_at	0.064193293	0.060322063	0.189894216	0.100422173	0.200846365	-0.089226942	-0.031677496	-0.032665112	-0.02474519	0.020106359	-0.070251922	0.044508638	0.021745785	0.033820586	-0.068602027	-0.147306699
	Srsf6	Q3TWW8	1416720_at	-0.104605043	-0.030265443	-0.29372361	-0.242572021	-0.174917695	0.013669166	-0.145351386	0.044166462	-0.285934808	-0.161952159	-0.390667686	-0.225028083	-0.109561152	-0.335368915	-0.041383179	0.241986841
Thioredoxin domain-containing protein 12	Txndc12	Q9CQU0	1415738_at	0.119745487	0.080347193	0.098907208	0.085512014	-0.116630912	0.067334052	0.005420276	0.116160255	0.061541057	0.088791634	0.027807322	0.043066099	-0.042083959	-0.147697444	-0.063917054	-0.16079114
Ubiquitin-like domain-containing CTD phosphatase 1	Ublcp1	Q8BGR9;Q8BGR9-2	1415789_a_at	-0.337083076	-0.220206113	-0.595885528	-0.175684271	-0.209016592	-0.089226942	-0.196103398	-0.384160354	-0.31533436	-0.412510571	-0.136585153	-0.306612224	-0.138290234	-0.155878733	-0.154971988	-0.200755432
	Ces1f	Q91WU0;D3Z2I6;D3Z298	1424266_s_at	0.954836648	0.975198084	1.029087461	0.853970472	0.726328958	0.835934606	0.892231797	1.042605385	0.956795501	0.919151354	0.851885879	0.778778698	0.732787833	0.728478705	0.910773058	0.645344737
Acyl-CoA desaturase 1;Acyl-CoA desaturase 2	Scd1;Scd3;Scd2	P13516;Q99PL7;P13011;Q8BNZ5;Q6T707	1423366_at	-0.369494402	-0.622836666	-0.332278283	-0.912113305	-1.713871743	NA	-1.377456961	-0.847515928	-1.024390606	-1.002882509	-1.005328121	-1.088005871	NA	-1.627793583	NA	-1.331361267
Aldehyde dehydrogenase;Fatty aldehyde dehydrogenase	Aldh3a2	B1ATI0;B1AV77;P47740;Q8C5J1;B1ATI7;P47739	1415776_at	-0.291132012	-0.228356954	0.249222011	-0.393965276	-0.217851097	-0.192699178	-0.279649579	0.002873824	-0.023752136	0.09195571	0.13020754	-0.076969476	-0.646807808	-0.474150461	-0.300416628	-0.502126889
Asialoglycoprotein receptor 1	Asgr1	P34927;Q91Y84;B1AR34;B1AR32	1421944_a_at	-0.066674763	-0.056444801	-0.217106608	-0.136847604	-0.105275783	-0.154194325	-0.132774233	-0.065434446	-0.115832299	-0.031818626	-0.158983251	-0.183327706	-0.101246657	-0.217230716	-0.125254339	-0.033792989
SAM domain and HD domain-containing protein 1	Samhd1	F8WJE0;E9Q0K6;F6TVP2;Q60710;E9PYG9;Q6ZQM3;E0CXZ5	1434438_at	-0.29713271	-0.47134356	-0.563743877	-0.460794977	-0.346077535	-0.387472834	-0.298306396	-0.466757616	-0.398678716	-0.59779335	-0.505179567	-0.469885976	-0.411317768	-0.290778251	-0.454281196	-0.510354341
Cytochrome P450 3A13	Cyp3a13	Q64464	1419523_at	0.642661952	0.183637861	0.578133103	0.03495826	-0.073820233	0.055651272	0.22610492	0.238221146	0.346059497	0.301248112	0.273046747	0.047099905	-0.123931008	0.296615752	0.270503786	-0.022758398
Glutathione S-transferase kappa 1	Gstk1	Q9DCM2	1452823_at	0.383491736	0.399178397	0.430217288	0.46827171	0.428041716	0.393008278	0.364236324	0.375758704	0.513769609	0.548269282	0.556732846	0.498382519	0.473210021	0.424164908	0.437642775	0.427246121
Peroxiredoxin-4	Prdx4	O08807;B1AZS9	1431269_at	0.064585514	0.044359856	0.037606452	-0.063917054	-0.121015401	-0.00273852	-0.106750315	0.096406361	0.010962748	-0.002162421	0.035446109	0.016351488	-0.270947487	-0.161565256	-0.109427427	-0.263755573
Peroxisomal targeting signal 2 receptor	Pex7	P97865;B7ZNK8;F6QU40	1418988_at	-0.143393419	-0.388244653	-0.305562016	-0.368824212	-0.33330923	-0.111031312	-0.315798063	-0.246590503	-0.146133829	-0.221815228	-0.390227437	-0.350497247	-0.203764966	-0.350610395	-0.078473209	-0.200880954
Thioesterase superfamily member 4	Them4	Q3UUI3;Q3UUI3-2	1427055_at	-0.044184258	-0.044883678	-0.103128316	-0.197236355	0.014106161	0.060081396	-0.039840265	0.020925839	-0.039980598	-0.143785225	-0.037593076	-0.0739573	-0.07299756	0.019301965	-0.05630606	-0.028569152
Probable ATP-dependent RNA helicase DDX58	Ddx58	Q6Q899;E9Q0T5;A2AP29;Q6Q899-2;Q6Q899-3;Q6Q899-4	1446457_at	-0.201257457	0.10562845	-0.024319679	-0.280243696	0.140173536	-0.209515751	-0.251931127	-0.253142153	-0.311270591	-0.27369491	-0.237074171	-0.053528441	-0.086919607	-0.308244364	-0.482745045	-0.492622329
Citrate lyase subunit beta-like protein, mitochondrial	Clybl	Q8R4N0;E9PYU7	1421014_a_at	0.139029259	0.129244696	0.088040035	0.265986292	0.213169481	0.150256887	0.243659848	0.121894631	0.056056175	0.165272606	0.197236023	0.232412995	0.210112196	0.237285507	0.241645649	0.252449326
Hemopexin	Hpx	Q91X72	1423944_at	0.817841662	0.403103012	-0.042364175	0.0195213	0.203751126	0.52097644	0.325557427	0.463748121	0.565481188	-0.04851521	-0.055612157	-0.010350188	-0.004896843	0.863913636	0.167976876	0.208677675
Protein canopy homolog 2	Cnpy2	Q9QXT0	1448372_a_at	0.147122226	0.104526747	0.117317827	0.096128756	-0.000721167	0.12109421	0.133368919	0.244394535	0.18427703	0.159025241	0.006912617	0.083294071	-0.061983516	-0.046141782	0.123292507	-0.007913082
Heme oxygenase 2	Hmox2	O70252;D3YX62;D3YXN4;D3Z4A2	1416399_a_at	0.195996019	-0.014355293	-0.145873062	-0.219338923	-0.260387037	0.004146488	-0.142740172	-0.085016673	-0.088141597	0.211999262	0.037710112	-0.378955461	-0.318692833	0.005666478	-0.203639694	-0.131984509
Arylsulfatase B	Arsb	P50429;P50429-2	1429189_at	0.37840054	0.591114265	0.441183805	-0.02219024	0.212885197	0.115425522	0.654399243	0.701834396	0.272367024	0.558962784	-0.238909117	0.010265141	0.16066921	0.12480185	0.606825459	0.132293273
NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	Cyb5r3	Q9DCN2;Q9DCN2-2;F2Z456;E9Q841;F2Z3V0	1425329_a_at	0.168268657	0.06698642	0.262434369	0.065747718	0.134888846	0.050353017	0.025529424	0.247200038	0.173612188	0.217121797	0.255907811	0.07602177	-0.128557365	0.099262618	-0.048933645	-0.029841557
Dehydrogenase/reductase SDR family member 4	Dhrs4	G3X8V7;Q99LB2	1419382_a_at	0.345619455	0.216250017	0.20604587	0.141748401	0.192776988	0.049367356	0.105271468	0.241509195	0.200431876	0.217239192	0.075231193	0.222094295	0.113161147	0.00528995	0.153462556	0.065234421
Cathepsin D	Ctsd	Q8C243;P18242;F6Y6L6;F8WIR1;Q05BF3	1448118_a_at	-0.308360875	-0.193708673	-0.197236355	-0.277865757	-0.147957881	-0.19761381	-0.165815488	-0.238420026	-0.426318435	-0.190804468	-0.238420026	-0.134746655	-0.078336571	-0.215740713	-0.141432791	-0.225768496
Protein transport protein Sec61 subunit alpha isoform 1	Sec61a1	P61620;Q9JLR1;Q9CYJ6;A2ATT9	1455987_at	0.635517214	0.505451263	0.638209186	0.255666653	0.204399271	0.450951901	0.578046952	0.320342003	0.483419992	0.387468208	0.984502431	0.659221272	-0.074505436	0.009204843	0.000865877	-0.083792032
Macrophage mannose receptor 1	Mrc1	Q61830	1450430_at	-0.15924166	-0.149779631	-0.147306699	-0.153935011	0.031547928	-0.128821281	-0.063917054	-0.125254339	-0.178873958	-0.190045887	-0.126576457	-0.079429315	-0.091936738	-0.152378145	-0.143393419	-0.137503524
	Cyp2d22	Q9JKY7	1419040_at	0.580978954	0.396726176	0.930380315	0.46001242	0.338177447	0.429789684	0.597583419	0.596186938	0.572565459	0.708561466	0.613873324	0.404477244	0.179939522	0.270973722	0.484893129	0.354482782
Peroxiredoxin-2	Prdx2	Q61171;D3Z4A4	1430979_a_at	-0.111164889	-0.253142153	-0.267715562	-0.205392513	-0.139076515	-0.112900262	-0.172743517	-0.086647913	-0.157431827	-0.122738972	-0.247927513	-0.130140135	-0.27524549	-0.012640181	-0.172615522	0.025456004
Bile salt export pump	Abcb11	Q9QY30	1449817_at	0.17722907	0.066820191	0.305913229	0.401082217	0.546498224	0.654830749	0.317588509	0.396726176	0.170637508	0.516821406	0.599768129	0.466994901	0.610301039	0.381855334	0.273395448	0.481545433
Histone H1.4	Hist1h1e	P43274;Q07133	1445565_at	-0.321697245	-0.613248744	-0.481505617	-0.743213343	-0.647636863	-0.341871921	-0.539928043	-0.070938821	0.06187232	0.052146857	-0.257855464	-0.520145627	-0.588516767	-0.188527527	-0.134746655	-0.40522998
Proteasome subunit beta type	Psmb5	D3Z2T2	1415676_a_at	-0.299010149	-0.748547105	-0.725784775	-0.559442866	-0.45785691	-0.139993302	-0.44615034	-0.124328135	-0.450907702	-0.330902541	-0.731791479	-0.446891405	-0.773574423	0.055156543	-0.616545903	-0.086783766
Coatomer subunit epsilon	Cope	O89079;D3Z315;F6YFR7;E9Q6I5;F6XIG5	1416384_a_at	-0.028144768	0.004942473	-0.150559677	0.042293372	0.009175805	0.129260475	-0.046700587	0.06666909	0.034721786	-0.076559095	-0.120882733	-0.186880831	-0.089904868	-0.058662839	0.027336752	0.043660786
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	Ppp1ca	P62137;Q3TYF5	1460165_at	-0.010063683	-0.050188223	0.001197934	-0.19181529	-0.164528861	-0.134746655	-0.174406419	-0.208267529	0.033362815	-0.07819992	-0.089633736	-0.163241085	-0.43349364	-0.059770581	-0.084200362	-0.112900262
Glycine N-acyltransferase-like protein Keg1	Keg1	Q9DCY0;D3Z4V9;D3Z1F5	1416833_at	1.442535992	1.620512114	1.768370986	1.611138189	1.554273297	1.658583476	1.610741583	1.663419533	1.34905167	1.651450291	1.532699649	1.827922181	1.637288864	1.522011892	1.491672771	1.264616467
Treacle protein	Tcof1	O08784;E9PYV2;Q05CS0;F8WIZ3	1423601_s_at	-0.508428653	-0.20451637	-0.006333934	-0.208142647	0.096915441	-0.106616329	-0.145220937	-0.172615522	-0.182310918	-0.242084171	-0.217354814	-0.257010618	0.047964696	-0.238297728	-0.139469495	-0.372283513
Pyridoxal-dependent decarboxylase domain-containing protein 1	Pdxdc1	E9Q8P7;Q99K01-2;Q99K01-4;Q99K01;Q99K01-3;E9PZ98;Q99K01-5;D3YZA7	1452705_at	0.309788539	0.012533598	-0.076422275	0.162767183	0.028013245	0.30281334	0.156916614	0.204881413	0.334661809	0.169193019	-0.028427705	0.250834766	0.151169777	0.234024026	0.187230717	0.322198626
ATP-binding cassette sub-family D member 3	Abcd3	P55096	1416679_at	-0.090311471	-0.02672925	0.545845168	-0.260507478	-0.036468167	0.045223005	-0.272739878	0.031031914	0.029750048	0.424261701	0.287518671	-0.113567157	-0.554048507	-0.192194165	-0.18027519	-0.521352314
Splicing factor 45	Rbm17	Q8JZX4;A2AP40	1452691_at	-0.006477564	-0.181166174	-0.171591153	-0.090988888	0.082499501	-0.023894043	-0.00345832	-0.28166858	-0.09328973	-0.148869044	-0.188527527	-0.173511248	-0.006333934	0.0014723	-0.093154488	-0.096801582
Histone H2A.Z;Histone H2A.V;Histone H2A	H2afz;H2afv	P0C0S6;Q3THW5;Q5NC91;Q8R029;Q3UA95;G3UWL7	1436596_at	-0.137896932	-0.131194352	-0.132905812	-0.115432826	-0.05630606	-0.051302489	-0.143262793	-0.071899932	-0.167100969	-0.08024833	-0.211635253	-0.087734382	0.021072224	-0.087598618	-0.005040617	-0.205017088
Histone H2B;Histone H2B type 1-F/J/L;Histone H2B type 1-M;Histone H2B type 1-B;Histone H2B type 1-H;Histone H2B type 2-B;Histone H2B type 1-C/E/G;Histone H2B type 1-K;Histone H2B type 1-P	Gm13646;Hist1h2bf;Hist1h2bm;Hist1h2bb;Hist1h2bh;Hist2h2bb;Hist1h2bc;Hist1h2bk;Hist1h2bp	Q8CGP2-2;Q921L4;Q8CBB6;P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2;G3X9D5;P70696	1452540_a_at	-0.281905924	-0.349025513	-0.393965276	-0.407842178	-0.232415171	-0.338909273	-0.298423712	-0.375067242	-0.362778454	-0.413702389	-0.41196851	-0.35614381	-0.273336847	-0.349365278	-0.275483893	-0.328721595
Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Mccc2	Q3ULD5;Q6PD20;F6ZNH0;Q8K1L7	1454840_at	0.161475762	0.085649792	0.155019875	0.236945425	0.207810981	0.222649725	0.255408313	0.201791845	0.129939142	0.172376057	0.24002609	0.218363316	0.258632253	0.166567432	0.271147811	0.265327227
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Alkbh3	A2AKV6;Q8K1E6;A2AKV7	1428889_at	-0.136060107	-0.111565545	-0.314870509	-0.067087965	-0.332507446	0.081247413	0.077771699	-0.141694362	-0.076422275	-0.208642109	-0.363451457	-0.09071796	0.131787364	0.18979548	-0.091395186	-0.278460609
Syntaxin-binding protein 3	Stxbp3	Q60770;Q60770-2;E9Q6R9;A2AEC9	1416653_at	-0.073820233	-0.217106608	-0.138028045	-0.232046713	0.065204233	-0.029417547	-0.160533009	-0.231186613	-0.323543009	-0.286053134	-0.209390977	-0.137241192	-0.172359498	-0.12895322	-0.154712814	-0.198619873
Glutathione peroxidase 3;Glutathione peroxidase	Gpx3	P46412;D3Z2Y7;D3Z7Y0;F2Z3Y2;E9QK84	1449106_at	-0.164786278	-0.132247798	0.010817385	-0.115699153	0.319783681	0.096807439	-0.074916402	0.215814325	-0.107152199	-0.006764782	-0.118891252	-0.027720258	0.085159975	0.083248219	0.11323917	0.169777133
Nuclear factor 1 B-type;Nuclear factor 1	Nfib	P97863;P97863-2;F8WHI4;P97863-3;F8WIX3	1434102_at	-0.19761381	-0.024319679	-0.2282338	-0.132774233	0.039799697	-0.212880566	-0.267715562	-0.214870834	-0.178491568	-0.045303168	-0.171847314	0.028601757	-0.036327492	-0.036749476	-0.121678557	-0.47019844
Phytanoyl-CoA dioxygenase, peroxisomal	Phyh	O35386	1460194_at	0.447288487	0.696330289	0.846557815	0.734827182	0.666736575	0.628496895	0.726925789	0.679318932	0.641626245	0.792057186	0.826079462	0.823294262	0.810004699	0.577530158	0.741975626	0.617985773
Macrophage migration inhibitory factor	Mif	P34884	1416335_at	0.341537139	0.290621129	-0.013212111	0.255063933	0.39323563	0.286849697	0.350908835	0.240758928	0.0967303	0.213905532	0.261500194	0.406942687	0.352971064	0.501136436	0.358953452	0.463807812
Coatomer subunit zeta-1	Copz1	P61924;Q8R3M1	1447834_at	-0.095046725	0.054796847	-0.142478791	-0.130140135	0.061706679	0.129086914	-0.062674363	-0.204015477	-0.03801469	-0.171719239	-0.260627908	-0.010636636	-0.012783185	0.072846887	0.040867887	-0.088684372
Leucine-rich repeat-containing protein 59	Lrrc59	Q922Q8;Q3TF84	1416234_at	0.069678975	-0.091259766	0.405394126	-0.09895848	-0.03885755	-0.054362288	0.016424447	0.235619872	0.386770119	0.184342602	0.099030819	0.006666202	-0.394843362	-0.084880654	-0.082838815	-0.159758338
Myosin-14	Myh14	B3F3T1;Q6URW6;Q6URW6-2;D3Z5V8	1428835_at	0.185671073	-0.007769594	0.030206674	-0.084200362	-0.100304906	-0.074094354	0.07876173	0.074775289	-0.10017032	-0.159758338	-0.007913082	-0.065434446	-0.127369147	-0.013355059	-0.012497163	0.15392797
Protein tyrosine phosphatase type IVA 1	Ptp4a1	Q63739	1438657_x_at	-0.053250385	-0.176067406	-0.292546188	-0.160403926	-0.185359135	0.410811789	0.176478881	0.027969116	-0.064331046	0.536649578	-0.36120689	-0.084744621	0.349070046	0.169874508	0.432065214	0.262192118
Hemoglobin subunit alpha	Hba-a1;Hba-a2;Hba	Q91VB8;F7CAE1;P01942	1453574_at	-0.262914176	-0.6615672	-0.651499503	-0.453333197	-0.378178655	-0.106214296	-0.360982241	-0.074642438	-0.28853575	-0.235481995	-0.666120303	-0.344146748	-0.776356701	0.082071837	-0.493749794	-0.067087965
Synapse-associated protein 1	Syap1	Q9D5V6	1416472_at	0.052131899	-0.023184369	-0.048933645	-0.049212535	-0.183200647	-0.057831475	-0.09044698	0.017139638	0.059089067	-0.12895322	-0.117296086	0.051384202	-0.164271398	-0.06060083	-0.025312343	0.085787583
Hydroxyacid oxidase 1	Hao1	Q9WU19	1420420_at	-0.025170576	0.124974896	-0.024886999	-0.008200014	-0.109828565	0.029484977	-0.07121349	0.019199619	-0.089091319	0.108409722	0.031606913	0.144153782	0.024956842	-0.236217064	-0.073271836	-0.157690514
Glutamate--cysteine ligase catalytic subunit	Gclc	P97494	1424296_at	0.001096865	0.045490984	0.167895836	-0.052972275	0.049964646	-0.044044333	-0.008630305	0.01922886	-0.080657663	-0.024035935	0.016380671	0.118178787	-0.003314389	-0.064331046	-0.07244885	-0.065434446
Lipoma-preferred partner homolog	Lpp	Q8BFW7;Q8BFW7-4;Q8BFW7-5;Q8BFW7-2;Q8BFW7-3	1440167_s_at	0.064359219	-0.01592569	-0.066123642	0.015607518	0.064344134	0.05916422	0.019696793	0.027086823	-0.002594517	0.055996183	-0.033792989	-0.017779413	0.144361056	0.081858052	0.040096337	0.058788496
TIP41-like protein	Tiprl	Q8BH58	1451587_a_at	-0.392537245	-0.443076151	-0.42050935	-0.261951979	-0.32308179	-0.286762889	-0.385375813	-0.260989139	-0.378178655	-0.416515504	-0.378511623	-0.319386715	-0.316956668	-0.29007047	-0.377734578	-0.256527627
cAMP-dependent protein kinase type I-alpha regulatory subunit	Prkar1a	Q3TYK4;Q9DBC7;E9Q276;A2AI69;P12849;D3Z0V6;D3Z068;D3YTM5;D3Z4L4	1425550_a_at	-0.028993412	-0.207268173	-0.151599082	-0.362778454	-0.522357116	0.020838015	-0.058385771	-0.10057404	-0.206893236	-0.095856924	-0.318114344	-0.208642109	-0.493134922	-0.234133396	-0.322158908	-0.15885403
Phospholipase DDHD2	Ddhd2	Q80Y98;E9QPZ7;Q80Y98-2;Q80Y98-3	1435376_at	NA	NA	-0.480575346	NA	NA	-0.286881148	NA	-0.275483893	NA	NA	NA	NA	NA	-0.294900072	NA	NA
Ryanodine receptor 3	Ryr3	E9PW34;A2AGL3;A2AGL3-2	1427427_at	0.261880711	0.28753628	0.279493874	0.335153118	0.434948812	0.35072485	0.284089062	0.1938492	0.258977486	0.400015768	0.507029088	0.536921664	0.359101479	0.564691448	0.502811756	0.264321864
Alpha-mannosidase 2C1	Man2c1	Q91W89;F8WIE1;E9PZ88;E9PYM7;F6TFL1;E0CYW2;F6U7S0;E0CXI0;E0CXM6;E0CZB0;E0CYR8	1423687_a_at	-0.258458623	-0.321812675	-0.245982361	-0.240375394	-0.194339249	-0.297015288	-0.14208663	-0.496411216	-0.374288339	-0.376068071	-0.300533772	-0.159370847	-0.04949137	-0.325040955	-0.263875733	-0.235849577
